subgroup,value,count,macro_f1,high_risk_recall,undertriage_rate
age_group,pediatric,959,0.8982521149262999,0.9660194174757282,0.0
age_group,young_adult,3588,0.8945368829033805,0.9733520336605891,0.0019509476031215162
age_group,middle_aged,4239,0.8893958574922982,0.9687137891077636,0.001887237556027365
age_group,elderly,3214,0.8795242419635034,0.9740458015267176,0.0012445550715619166
arrival_mode,walk-in,5799,0.8929296453071695,0.9742524916943521,0.0012071046732195206
arrival_mode,helicopter,356,0.8908823643607547,0.9512195121951219,0.008426966292134831
arrival_mode,police,439,0.8907911679526904,0.9888888888888889,0.002277904328018223
arrival_mode,ambulance,3391,0.8861403947334543,0.9725433526011561,0.001474491300501327
arrival_mode,brought_by_family,822,0.884517225903911,0.948051948051948,0.0
arrival_mode,transfer,1193,0.8795420756941729,0.9674418604651163,0.002514668901927913
language,Estonian,716,0.9128878589780621,0.9940476190476191,0.0013966480446927375
language,English,1189,0.8973505176053479,0.9590163934426229,0.0008410428931875525
language,Other,586,0.8905298345682962,0.9743589743589743,0.0034129692832764505
language,Arabic,604,0.8898113679434443,0.9576271186440678,0.004966887417218543
language,Finnish,6673,0.8871544446959835,0.9746835443037974,0.0011988610819721264
language,Somali,474,0.8843637282170956,0.8932038834951457,0.0
language,Swedish,910,0.8827969090303229,0.9754601226993865,0.0032967032967032967
language,Russian,848,0.877092503676867,0.988950276243094,0.0011792452830188679
sex,M,5624,0.8933065837493427,0.9723461195361285,0.001422475106685633
sex,F,6127,0.885488933783321,0.9714285714285714,0.0017953321364452424
sex,Other,249,0.8825337586001615,0.9464285714285714,0.0
site_id,SITE-TMP-01,2408,0.8946450909431192,0.9744597249508841,0.0004152823920265781
site_id,SITE-HEL-02,2379,0.8939508875277238,0.9726890756302521,0.002101723413198823
site_id,SITE-TUR-01,2392,0.890665498062132,0.9769673704414588,0.0008361204013377926
site_id,SITE-OUL-01,2342,0.8827012190489756,0.9612756264236902,0.0029888983774551663
site_id,SITE-HEL-01,2479,0.8826660941392082,0.9695121951219512,0.0016135538523598225
